当前 balance.js 数值下的实测（150 场/档）：
章节    档位      胜率       回合     剩余HP    敌人HP / 敌攻
第1章   mob     100.0%   2.2    84%     42 / 10
第1章   normal  100.0%   2.2    85%     51 / 11
第1章   elite   97.3%    3.2    73%     46 / 12
第1章   boss    69.3%    3.6    34%     49 / 13
第2章   mob     100.0%   2.1    87%     123 / 19
第2章   normal  100.0%   2.1    85%     149 / 22
第2章   elite   91.3%    2.9    54%     186 / 23
第2章   boss    79.3%    2.7    34%     181 / 25
第3章   mob     100.0%   2.1    87%     168 / 27
第3章   normal  100.0%   2.1    88%     223 / 31
第3章   elite   100.0%   3.0    67%     301 / 32
第3章   boss    54.0%    3.7    22%     379 / 35
第4章   mob     100.0%   1.9    89%     239 / 40
第4章   normal  100.0%   2.0    89%     314 / 45
第4章   elite   98.0%    3.5    66%     349 / 48
第4章   boss    65.3%    3.9    32%     417 / 51
第5章   mob     100.0%   2.1    87%     308 / 46
第5章   normal  100.0%   2.0    89%     439 / 52
第5章   elite   97.3%    2.9    67%     546 / 55
第5章   boss    99.3%    3.5    60%     608 / 60
第6章   mob     100.0%   2.1    86%     335 / 55
第6章   normal  100.0%   2.0    86%     524 / 62
第6章   elite   98.7%    2.7    62%     580 / 66
第6章   boss    67.3%    3.2    26%     756 / 71
