
=== 第 1 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    40     1.92   2.0     6     2%      8%      11%       100%    12%
mob     第2章    40     1.08   2.0     6     1%      8%      13%       100%    9%
mob     第3章    40     1.00   2.0     6     0%      8%      5%        100%    7%
mob     第4章    40     1.00   2.0     6     0%      8%      4%        100%    6%
mob     第5章    40     1.00   2.0     6     0%      8%      6%        100%    6%
mob     第6章    40     1.00   2.0     6     0%      8%      4%        100%    4%
normal  第1章    40     1.88   2.5     6     3%      13%     14%       100%    16%
normal  第2章    40     1.08   2.5     6     0%      13%     3%        100%    11%
normal  第3章    40     1.00   2.5     6     0%      13%     0%        100%    7%
normal  第4章    40     1.04   2.5     6     0%      13%     5%        100%    7%
normal  第5章    40     1.00   2.5     6     1%      13%     5%        100%    6%
normal  第6章    40     1.00   2.5     6     1%      13%     4%        100%    5%
elite   第1章    40     2.58   3.5     6     3%      18%     12%       100%    16%
elite   第2章    40     1.04   3.5     6     1%      18%     10%       100%    14%
elite   第3章    40     1.04   3.5     6     0%      18%     4%        100%    11%
elite   第4章    40     1.00   3.5     6     0%      18%     0%        100%    6%
elite   第5章    40     1.00   3.5     6     0%      18%     0%        100%    6%
elite   第6章    40     1.00   3.5     6     0%      18%     8%        100%    4%
boss    第1章    40     2.75   4.5     6     9%      22%     27%       100%    24%
boss    第2章    40     1.00   4.5     6     0%      22%     0%        100%    16%
boss    第3章    40     1.00   4.5     6     0%      22%     4%        100%    12%
boss    第4章    40     1.00   4.5     6     0%      22%     0%        100%    6%
boss    第5章    40     1.04   4.5     6     0%      22%     4%        100%    6%
boss    第6章    40     1.00   4.5     6     0%      22%     4%        100%    4%
（本轮击杀回合最大偏差 78%）

=== 第 2 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    41     1.92   2.0     14    5%      8%      26%       100%    29%
mob     第2章    64     1.29   2.0     14    2%      8%      19%       100%    21%
mob     第3章    68     1.17   2.0     14    0%      8%      5%        100%    18%
mob     第4章    68     1.04   2.0     14    0%      8%      4%        100%    14%
mob     第5章    68     1.00   2.0     14    0%      8%      0%        100%    14%
mob     第6章    68     1.04   2.0     14    0%      8%      5%        100%    11%
normal  第1章    49     2.38   2.5     14    11%     13%     40%       100%    39%
normal  第2章    77     1.50   2.5     14    3%      13%     19%       100%    25%
normal  第3章    82     1.08   2.5     14    0%      13%     4%        100%    18%
normal  第4章    79     1.00   2.5     14    0%      13%     0%        100%    16%
normal  第5章    82     1.00   2.5     14    0%      13%     0%        100%    15%
normal  第6章    82     1.00   2.5     14    0%      13%     6%        100%    12%
elite   第1章    50     3.52   3.5     14    10%     18%     32%       96%     47%
elite   第2章    96     1.67   3.5     14    9%      18%     61%       100%    30%
elite   第3章    96     1.42   3.5     14    4%      18%     35%       100%    25%
elite   第4章    96     1.04   3.5     14    0%      18%     3%        100%    19%
elite   第5章    96     1.08   3.5     14    0%      18%     5%        100%    16%
elite   第6章    96     1.04   3.5     14    0%      18%     5%        100%    10%
boss    第1章    58     2.78   4.5     12    26%     22%     50%       38%     46%
boss    第2章    96     1.88   4.5     14    8%      22%     34%       100%    39%
boss    第3章    96     1.25   4.5     14    3%      22%     23%       100%    28%
boss    第4章    96     1.13   4.5     14    0%      22%     7%        100%    18%
boss    第5章    96     1.08   4.5     14    0%      22%     0%        100%    13%
boss    第6章    96     1.00   4.5     14    0%      22%     0%        100%    15%
（本轮击杀回合最大偏差 78%）

=== 第 3 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    42     2.00   2.0     19    9%      8%      40%       100%    40%
mob     第2章    88     1.67   2.0     35    6%      8%      40%       100%    54%
mob     第3章    102    1.33   2.0     35    4%      8%      33%       100%    44%
mob     第4章    112    1.25   2.0     35    1%      8%      16%       100%    36%
mob     第5章    116    1.17   2.0     35    1%      8%      15%       100%    33%
mob     第6章    112    1.17   2.0     35    0%      8%      5%        100%    28%
normal  第1章    51     2.50   2.5     16    12%     13%     45%       100%    46%
normal  第2章    112    2.04   2.5     35    12%     13%     46%       100%    62%
normal  第3章    157    1.71   2.5     35    7%      13%     41%       100%    44%
normal  第4章    162    1.38   2.5     35    1%      13%     10%       100%    41%
normal  第5章    168    1.17   2.5     35    1%      13%     6%        100%    38%
normal  第6章    168    1.17   2.5     35    1%      13%     10%       100%    31%
elite   第1章    50     3.35   3.5     22    18%     18%     51%       83%     74%
elite   第2章    170    2.38   3.5     24    22%     18%     77%       88%     55%
elite   第3章    195    1.95   3.5     35    24%     18%     72%       92%     64%
elite   第4章    230    1.88   3.5     35    11%     18%     49%       100%    45%
elite   第5章    230    1.79   3.5     35    6%      18%     36%       100%    40%
elite   第6章    230    1.63   3.5     35    3%      18%     17%       100%    34%
boss    第1章    40     2.65   4.5     11    18%     22%     46%       96%     42%
boss    第2章    190    2.79   4.5     33    34%     22%     84%       58%     93%
boss    第3章    230    2.43   4.5     35    23%     22%     73%       96%     72%
boss    第4章    230    2.04   4.5     35    10%     22%     36%       100%    42%
boss    第5章    230    1.71   4.5     35    4%      22%     27%       100%    38%
boss    第6章    230    1.54   4.5     35    6%      22%     31%       100%    38%
（本轮击杀回合最大偏差 66%）

=== 第 4 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    42     2.00   2.0     18    8%      8%      30%       100%    37%
mob     第2章    100    1.79   2.0     42    10%     8%      43%       100%    66%
mob     第3章    138    1.75   2.0     54    11%     8%      52%       100%    68%
mob     第4章    159    1.17   2.0     83    2%      8%      21%       100%    88%
mob     第5章    173    1.25   2.0     83    7%      8%      48%       100%    81%
mob     第6章    168    1.21   2.0     83    2%      8%      39%       100%    69%
normal  第1章    51     2.54   2.5     17    12%     13%     48%       100%    46%
normal  第2章    130    2.33   2.5     37    14%     13%     65%       100%    66%
normal  第3章    208    2.21   2.5     54    19%     13%     68%       100%    68%
normal  第4章    255    2.29   2.5     83    17%     13%     80%       100%    100%
normal  第5章    303    1.92   2.5     83    11%     13%     79%       100%    89%
