
=== 第 1 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    40     1.92   2.0     6     3%      8%      16%       100%    13%
mob     第2章    40     1.04   2.0     6     0%      8%      0%        100%    9%
mob     第3章    40     1.04   2.0     6     0%      8%      3%        100%    7%
mob     第4章    40     1.00   2.0     6     0%      8%      6%        100%    7%
mob     第5章    40     1.00   2.0     6     0%      8%      4%        100%    7%
mob     第6章    40     1.00   2.0     6     0%      8%      4%        100%    4%
normal  第1章    40     1.88   2.5     6     4%      13%     17%       100%    17%
normal  第2章    40     1.04   2.5     6     0%      13%     5%        100%    11%
normal  第3章    40     1.00   2.5     6     0%      13%     0%        100%    7%
normal  第4章    40     1.00   2.5     6     0%      13%     4%        100%    7%
normal  第5章    40     1.00   2.5     6     0%      13%     5%        100%    7%
normal  第6章    40     1.00   2.5     6     0%      13%     6%        100%    5%
elite   第1章    40     2.71   3.5     6     3%      18%     19%       100%    16%
elite   第2章    40     1.04   3.5     6     0%      18%     9%        100%    13%
elite   第3章    40     1.00   3.5     6     0%      18%     0%        100%    10%
elite   第4章    40     1.00   3.5     6     0%      18%     6%        100%    6%
elite   第5章    40     1.04   3.5     6     0%      18%     3%        100%    6%
elite   第6章    40     1.00   3.5     6     0%      18%     5%        100%    4%
boss    第1章    40     3.25   4.5     6     7%      22%     25%       100%    21%
boss    第2章    40     1.04   4.5     6     0%      22%     4%        100%    7%
boss    第3章    40     1.04   4.5     6     0%      22%     6%        100%    10%
boss    第4章    40     1.00   4.5     6     0%      22%     0%        100%    6%
boss    第5章    40     1.00   4.5     6     0%      22%     0%        100%    6%
boss    第6章    40     1.00   4.5     6     0%      22%     4%        100%    3%
（本轮击杀回合最大偏差 78%）

=== 第 2 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    41     1.96   2.0     14    8%      8%      41%       100%    27%
mob     第2章    66     1.25   2.0     14    2%      8%      14%       100%    20%
mob     第3章    66     1.04   2.0     14    0%      8%      3%        100%    18%
mob     第4章    68     1.00   2.0     14    0%      8%      4%        100%    14%
mob     第5章    68     1.04   2.0     14    0%      8%      6%        100%    15%
mob     第6章    68     1.00   2.0     14    0%      8%      7%        100%    12%
normal  第1章    49     2.42   2.5     14    13%     13%     37%       100%    38%
normal  第2章    79     1.50   2.5     14    3%      13%     28%       100%    25%
normal  第3章    82     1.13   2.5     14    1%      13%     18%       100%    19%
normal  第4章    82     1.00   2.5     14    0%      13%     4%        100%    17%
normal  第5章    82     1.00   2.5     14    0%      13%     4%        100%    17%
normal  第6章    82     1.04   2.5     14    0%      13%     0%        100%    12%
elite   第1章    48     3.17   3.5     14    9%      18%     35%       100%    47%
elite   第2章    96     1.71   3.5     14    7%      18%     36%       100%    30%
elite   第3章    96     1.33   3.5     14    2%      18%     15%       100%    25%
elite   第4章    96     1.08   3.5     14    0%      18%     8%        100%    17%
elite   第5章    96     1.04   3.5     14    0%      18%     4%        100%    16%
elite   第6章    96     1.08   3.5     14    1%      18%     10%       100%    10%
boss    第1章    51     3.00   4.5     14    20%     22%     51%       58%     46%
boss    第2章    96     1.88   4.5     14    9%      22%     36%       100%    34%
boss    第3章    96     1.50   4.5     14    4%      22%     34%       100%    25%
boss    第4章    96     1.08   4.5     14    1%      22%     12%       100%    13%
boss    第5章    96     1.08   4.5     14    1%      22%     10%       100%    13%
boss    第6章    96     1.00   4.5     14    0%      22%     3%        100%    11%
（本轮击杀回合最大偏差 78%）

=== 第 3 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    42     2.04   2.0     13    8%      8%      32%       100%    25%
mob     第2章    93     1.79   2.0     35    9%      8%      47%       100%    57%
mob     第3章    108    1.38   2.0     35    4%      8%      36%       100%    41%
mob     第4章    116    1.04   2.0     35    0%      8%      4%        100%    36%
mob     第5章    112    1.04   2.0     35    1%      8%      10%       100%    35%
mob     第6章    116    1.17   2.0     35    1%      8%      6%        100%    30%
normal  第1章    51     2.65   2.5     15    15%     13%     46%       96%     42%
normal  第2章    116    2.13   2.5     35    17%     13%     69%       100%    67%
normal  第3章    152    1.71   2.5     35    9%      13%     42%       100%    43%
normal  第4章    168    1.46   2.5     35    2%      13%     24%       100%    41%
normal  第5章    168    1.38   2.5     35    3%      13%     22%       100%    40%
normal  第6章    162    1.00   2.5     35    1%      13%     5%        100%    32%
elite   第1章    52     3.33   3.5     23    20%     18%     51%       75%     77%
elite   第2章    166    2.77   3.5     32    24%     18%     74%       92%     73%
elite   第3章    205    2.46   3.5     35    14%     18%     50%       100%    58%
elite   第4章    230    2.08   3.5     35    7%      18%     34%       100%    41%
elite   第5章    230    1.33   3.5     35    5%      18%     30%       100%    40%
elite   第6章    230    1.58   3.5     35    2%      18%     21%       100%    34%
boss    第1章    69     4.00   4.5     15    25%     22%     57%       17%     52%
boss    第2章    190    2.75   4.5     30    29%     22%     76%       67%     73%
boss    第3章    230    2.82   4.5     35    23%     22%     70%       92%     60%
boss    第4章    230    2.04   4.5     35    9%      22%     38%       100%    43%
boss    第5章    230    1.50   4.5     35    3%      22%     27%       100%    38%
boss    第6章    230    1.58   4.5     35    6%      22%     27%       100%    28%
（本轮击杀回合最大偏差 67%）

=== 第 4 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    41     1.96   2.0     14    8%      8%      35%       100%    28%
mob     第2章    101    1.83   2.0     31    8%      8%      37%       100%    48%
mob     第3章    143    1.86   2.0     61    23%     8%      82%       92%     73%
mob     第4章    190    1.38   2.0     83    9%      8%      93%       100%    87%
mob     第5章    184    1.38   2.0     83    4%      8%      32%       100%    86%
mob     第6章    173    1.17   2.0     83    3%      8%      26%       100%    73%
normal  第1章    48     2.43   2.5     14    15%     13%     47%       96%     41%
normal  第2章    131    2.50   2.5     29    16%     13%     52%       100%    55%
normal  第3章    202    2.13   2.5     45    16%     13%     56%       100%    58%
normal  第4章    252    2.00   2.5     83    19%     13%     71%       96%     98%
normal  第5章    264    1.92   2.5     83    14%     13%     62%       100%    96%
normal  第6章    333    1.71   2.5     83    12%     13%     56%       100%    76%
elite   第1章    54     3.33   3.5     22    17%     18%     51%       88%     73%
elite   第2章    197    2.95   3.5     26    21%     18%     62%       88%     58%
elite   第3章    266    2.57   3.5     42    20%     18%     56%       96%     68%
elite   第4章    340    3.11   3.5     72    24%     18%     90%       75%     87%
elite   第5章    492    2.77   3.5     83    21%     18%     78%       92%     97%
elite   第6章    426    2.33   3.5     83    19%     18%     67%       100%    80%
boss    第1章    48     2.87   4.5     14    20%     22%     51%       63%     46%
boss    第2章    275    3.22   4.5     25    30%     22%     74%       38%     60%
boss    第3章    327    3.71   4.5     34    28%     22%     74%       58%     60%
boss    第4章    425    2.71   4.5     69    37%     22%     84%       29%     87%
boss    第5章    553    2.85   4.5     83    24%     22%     78%       83%     91%
boss    第6章    527    2.63   4.5     83    35%     22%     79%       67%     66%
（本轮击杀回合最大偏差 42%）

=== 第 5 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    42     2.04   2.0     14    8%      8%      35%       100%    27%
mob     第2章    107    1.71   2.0     31    7%      8%      46%       100%    48%
mob     第3章    150    1.79   2.0     34    8%      8%      43%       100%    43%
mob     第4章    251    1.83   2.0     78    12%     8%      56%       100%    80%
mob     第5章    242    1.48   2.0     145   19%     8%      93%       96%     148%
mob     第6章    260    1.57   2.0     199   21%     8%      97%       96%     175%
normal  第1章    49     2.38   2.5     12    11%     13%     33%       100%    33%
normal  第2章    131    2.29   2.5     25    13%     13%     57%       100%    47%
normal  第3章    226    2.08   2.5     39    12%     13%     45%       100%    49%
normal  第4章    296    2.42   2.5     65    16%     13%     60%       100%    77%
normal  第5章    321    2.00   2.5     79    18%     13%     60%       96%     91%
normal  第6章    441    2.21   2.5     87    18%     13%     80%       100%    79%
elite   第1章    55     3.35   3.5     23    20%     18%     51%       71%     76%
elite   第2章    223    3.41   3.5     23    18%     18%     59%       92%     51%
elite   第3章    334    3.25   3.5     39    24%     18%     65%       83%     65%
elite   第4章    370    3.21   3.5     59    21%     18%     71%       79%     71%
elite   第5章    583    2.95   3.5     75    21%     18%     64%       88%     87%
elite   第6章    575    2.55   3.5     79    21%     18%     76%       92%     77%
boss    第1章    67     3.50   4.5     15    25%     22%     57%       17%     52%
boss    第2章    192    2.81   4.5     20    20%     22%     64%       88%     48%
boss    第3章    375    4.39   4.5     28    22%     22%     56%       75%     47%
boss    第4章    297    2.67   4.5     49    15%     22%     57%       100%    62%
boss    第5章    777    4.50   4.5     78    26%     22%     84%       50%     85%
boss    第6章    791    3.67   4.5     61    25%     22%     71%       88%     48%
（本轮击杀回合最大偏差 41%）

=== 第 6 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    41     1.96   2.0     14    9%      8%      35%       100%    30%
mob     第2章    120    1.92   2.0     33    10%     8%      70%       100%    51%
mob     第3章    162    1.79   2.0     32    9%      8%      47%       100%    39%
mob     第4章    266    2.17   2.0     61    11%     8%      58%       100%    63%
mob     第5章    302    1.75   2.0     87    12%     8%      64%       100%    89%
mob     第6章    311    1.67   2.0     112   16%     8%      91%       100%    99%
normal  第1章    51     2.65   2.5     14    15%     13%     47%       96%     40%
normal  第2章    139    2.29   2.5     25    13%     13%     57%       100%    49%
normal  第3章    258    2.65   2.5     42    19%     13%     62%       96%     53%
normal  第4章    303    2.42   2.5     57    15%     13%     60%       100%    68%
normal  第5章    377    2.33   2.5     64    13%     13%     45%       100%    73%
normal  第6章    482    2.46   2.5     70    13%     13%     47%       100%    64%
elite   第1章    57     3.71   3.5     21    18%     18%     49%       71%     71%
elite   第2章    227    3.10   3.5     24    21%     18%     74%       83%     54%
elite   第3章    352    3.43   3.5     33    18%     18%     51%       96%     54%
elite   第4章    393    3.58   3.5     54    22%     18%     66%       79%     66%
elite   第5章    659    3.36   3.5     68    19%     18%     90%       92%     79%
elite   第6章    725    3.30   3.5     71    22%     18%     66%       83%     69%
boss    第1章    47     2.94   4.5     14    21%     22%     52%       67%     46%
boss    第2章    273    3.23   4.5     22    28%     22%     60%       54%     54%
boss    第3章    382    4.05   4.5     28    18%     22%     57%       88%     47%
boss    第4章    440    3.09   4.5     64    29%     22%     71%       46%     80%
boss    第5章    777    4.11   4.5     70    23%     22%     83%       75%     77%
boss    第6章    917    3.59   4.5     56    25%     22%     60%       71%     44%
（本轮击杀回合最大偏差 35%）

=== 复核（写进去的最终值，逐格实测） ===
档位      章节     HP     回合     目标     ATK   每回合压力      最凶回合      胜率      意图上界
mob     第1章    42     2.04   2.0    13    8%         37%       100%    27%
mob     第2章    124    2.21   2.0    28    11%        50%       100%    43%
mob     第3章    175    2.04   2.0    29    8%         36%       100%    35%
mob     第4章    252    1.71   2.0    49    7%         46%       100%    50%
mob     第5章    332    2.04   2.0    68    11%        52%       100%    70%
mob     第6章    354    1.83   2.0    72    9%         51%       100%    63%
normal  第1章    49     2.54   2.5    15    15%        44%       100%    42%
normal  第2章    148    2.29   2.5    32    15%        67%       100%    59%
normal  第3章    248    2.70   2.5    32    13%        44%       96%     40%
normal  第4章    311    2.33   2.5    51    12%        49%       100%    62%
normal  第5章    396    2.29   2.5    76    17%        62%       100%    88%
normal  第6章    487    2.26   2.5    81    17%        73%       96%     74%
elite   第1章    55     3.83   3.5    21    18%        49%       75%     71%
elite   第2章    247    3.60   3.5    35    27%        81%       63%     79%
elite   第3章    357    3.58   3.5    33    17%        56%       100%    54%
elite   第4章    387    4.12   3.5    57    20%        63%       71%     69%
elite   第5章    677    3.33   3.5    85    27%        97%       75%     99%
elite   第6章    756    3.59   3.5    90    26%        79%       71%     87%
boss    第1章    64     3.33   4.5    23    34%        79%       13%     84%
boss    第2章    348    0.00   4.5    40    44%        82%       0%      96%
boss    第3章    412    4.70   4.5    37    28%        82%       42%     65%
boss    第4章    581    2.75   4.5    64    33%        77%       17%     80%
boss    第5章    829    3.86   4.5    96    37%        83%       29%     105%
boss    第6章    1080   4.33   4.5    101   49%        96%       13%     81%

新的 enemyHp 表：
    mob: [42, 124, 175, 252, 332, 354],
    normal: [49, 148, 248, 311, 396, 487],
    elite: [55, 247, 357, 387, 677, 756],
    boss: [64, 348, 412, 581, 829, 1080],
新的 enemyAtk 表：
    mob: [13, 28, 29, 49, 68, 72],
    normal: [15, 32, 32, 51, 76, 81],
    elite: [21, 35, 33, 57, 85, 90],
    boss: [23, 40, 37, 64, 96, 101],
